0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,
9,17.24.46,0.003,3,
9,17.24.46,0.388,3,
9,17.24.47,1.0,3,
9,17.24.47,1.456,3,
9,17.24.47,1.464,3,
9,17.24.48,2.074,3,
9,17.24.48,2.684,3,
9,17.24.49,3.295,3,
9,17.24.49,3.904,3,
9,17.24.50,4.514,3,
9,17.24.51,5.124,3,
9,17.24.51,5.734,3,
9,17.24.51,5.74,2,sendHello,9,,0
9,17.24.51,5.856,3,
9,17.24.52,6.467,3,
9,17.24.53,7.076,3,
9,17.24.53,7.686,3,
9,17.24.54,8.297,3,
9,17.24.54,8.906,3,
9,17.24.55,9.516,3,
9,17.24.56,10.126,3,
9,17.24.56,10.736,3,724
9,17.24.56,10.743,2,sendHello,9,,0
9,17.24.57,11.028,3,724
9,17.24.57,11.224,3,724
9,17.24.57,11.504,3,724
9,17.24.57,11.717,3,724
9,17.24.59,13.772,6,True
9,17.24.59,13.777,3,724, 3621
9,17.24.59,13.787,3,724, 3621
9,17.25.0,14.01,3,724, 3621
9,17.25.0,14.021,3,724, 3621
9,17.25.0,14.246,3,724, 3621
9,17.25.0,14.259,3,724, 3621
9,17.25.0,14.487,3,724, 3621
9,17.25.1,15.029,3,724, 3621, 1312
9,17.25.1,15.236,3,724, 3621, 1312
9,17.25.1,15.853,3,724, 3621, 1312
9,17.25.2,16.308,3,724, 3621, 1312
9,17.25.2,16.926,3,724, 3621, 1312
9,17.25.3,17.542,3,724, 3621, 1312
9,17.25.4,18.267,3,724, 3621, 1312
9,17.25.4,18.883,3,724, 3621, 1312
9,17.25.5,19.5,3,724, 3621, 1312
9,17.25.6,20.116,3,724, 3621, 1312
9,17.25.6,20.655,3,724, 3621, 1312
9,17.25.7,21.271,3,724, 3621, 1312
9,17.25.7,21.887,3,724, 3621, 1312
9,17.25.8,22.504,3,724, 3621, 1312
9,17.25.9,23.12,3,724, 3621, 1312
9,17.25.9,23.736,3,724, 3621, 1312
9,17.25.10,24.351,3,724, 3621, 1312, 3576
9,17.25.11,24.97,3,724, 3621, 1312, 3576
9,17.25.11,25.588,3,724, 3621, 1312, 3576
9,17.25.12,26.034,3,724, 3621, 1312, 3576
9,17.25.12,26.763,3,3576, 3316, 3621, 724, 1312
9,17.25.13,26.99,3,3576, 3316, 3621, 724, 1312
9,17.25.13,27.427,3,3576, 3316, 3621, 724, 1312
9,17.25.14,27.977,3,3576, 3316, 3621, 724, 1312
9,17.25.14,28.184,3,3576, 3316, 3621, 724, 1312
9,17.25.14,28.391,3,3576, 3316, 3621, 724, 1312
9,17.25.15,29.011,3,3576, 3316, 3621, 724, 1312
9,17.25.15,29.629,3,3576, 3316, 3621, 724, 1312
9,17.25.16,30.249,3,3576, 3316, 2066, 3621, 724, 1312
9,17.25.16,30.871,3,3576, 3316, 2066, 3621, 724, 1312
9,17.25.17,31.599,3,3576, 3316, 2066, 3621, 724, 1312
9,17.25.18,32.222,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.18,32.843,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.19,33.464,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.20,34.087,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.20,34.707,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.21,35.33,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.21,35.847,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.22,36.108,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.22,36.34,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.22,36.76,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.23,37.186,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.23,37.509,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.24,38.132,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.24,38.144,2,sendHello,9,,0
9,17.25.24,38.266,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.24,38.592,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.24,38.799,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.25,39.536,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.26,40.159,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.26,40.782,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.27,41.405,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.28,42.026,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.28,42.314,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.28,42.52,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.29,43.142,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.29,43.766,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.30,44.523,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.30,44.536,2,sendHello,9,,0
9,17.25.30,44.657,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.31,45.279,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.31,45.83,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.32,46.037,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.32,46.244,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.32,46.866,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.33,47.489,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.34,48.218,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.34,48.841,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.35,49.463,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.35,49.759,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.36,49.966,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.36,50.589,3,3576, 1312, 2066, 344, 3316, 3621, 724
9,17.25.36,50.601,2,sendHello,9,,0
