0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,
6,17.24.26,0.004,3,
6,17.24.26,0.617,3,2735
6,17.24.27,1.23,3,2735
6,17.24.28,1.842,3,2735
6,17.24.28,2.454,3,2735
6,17.24.29,3.067,3,2735
6,17.24.29,3.678,3,2735
6,17.24.30,4.289,3,2735
6,17.24.31,4.902,3,2735
6,17.24.31,5.515,3,2735
6,17.24.31,5.521,2,sendHello,6,,0
6,17.24.31,5.637,3,2735
6,17.24.32,6.249,3,2735
6,17.24.33,6.863,3,1176, 2735
6,17.24.33,7.474,3,1176, 2735
6,17.24.34,8.087,3,1176, 1419, 2735
6,17.24.34,8.258,3,1176, 1419, 3362, 2735
6,17.24.34,8.268,3,1176, 1419, 3362, 2735
6,17.24.35,8.981,3,1176, 1419, 3362, 2735
6,17.24.35,9.596,3,1176, 1419, 3362, 2735
6,17.24.36,10.21,3,1176, 1419, 3362, 2735
6,17.24.37,10.824,3,1176, 1419, 3362, 2735
6,17.24.37,11.437,3,1176, 1419, 3362, 2735
6,17.24.38,12.05,3,1176, 1419, 3362, 2735
6,17.24.38,12.058,2,sendHello,6,,0
6,17.24.38,12.175,3,1176, 1419, 3362, 2735
6,17.24.38,12.323,3,1176, 1419, 3362, 2735
6,17.24.38,12.33,2,sendRTS,6,7,1
6,17.24.40,14.547,2,sendRTS,6,7,1
6,17.24.41,14.965,2,sendRTS,6,7,1
6,17.24.41,15.487,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.41,15.584,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.41,15.59,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.41,15.596,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.41,15.602,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.41,15.608,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.41,15.614,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,15.712,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,15.718,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,15.724,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,15.73,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,15.736,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,15.742,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,15.84,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,15.846,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,15.852,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,15.858,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,15.864,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,15.963,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,15.97,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,15.976,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,15.982,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,15.988,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,15.994,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,16.09,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,16.096,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,16.102,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,16.108,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,16.114,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.42,16.12,4,RTSAntiEntropy,That strange error where  we can't decode a message
6,17.24.47,21.027,6,True
6,17.24.47,21.032,3,1176, 1275, 3362, 1419, 1084, 2735
6,17.24.47,21.041,3,1176, 1275, 3362, 1419, 1084, 2735
6,17.24.47,21.05,2,sendHello,6,,0
6,17.24.47,21.168,3,1176, 1275, 3362, 1419, 1084, 2735
6,17.24.48,21.785,3,1176, 1275, 3362, 1419, 1084, 2735
6,17.24.48,22.401,3,1176, 1275, 3362, 1419, 1084, 2735
6,17.24.49,23.016,3,1176, 1275, 3362, 1419, 1084, 2735
6,17.24.49,23.385,3,1176, 1275, 3362, 1419, 1084, 2735
6,17.24.49,23.398,3,1176, 1275, 3362, 1419, 1084, 2735
6,17.24.50,24.109,3,1176, 1275, 3362, 1419, 1084, 2735
6,17.24.51,24.727,3,1176, 1275, 3362, 1419, 1084, 2735
6,17.24.51,25.343,3,1176, 1275, 3362, 1419, 1084, 2735
6,17.24.52,25.958,3,1176, 1275, 3362, 1419, 1084, 2735
6,17.24.52,26.574,3,1176, 1275, 3362, 1419, 1084, 2735
6,17.24.53,27.189,3,1176, 1275, 3362, 1419, 1084, 2735
6,17.24.54,27.804,3,1176, 1275, 3362, 1419, 1084, 2735
6,17.24.54,28.42,3,1176, 1275, 3362, 1419, 1084, 2735
6,17.24.55,29.036,3,1176, 249, 3362, 1275, 1419, 1084, 2735
6,17.24.55,29.653,3,1176, 249, 3362, 1275, 1419, 1084, 2735
6,17.24.56,30.366,3,1176, 249, 3362, 1275, 1419, 1084, 2735
6,17.24.56,30.569,3,1176, 249, 3362, 1275, 1419, 1084, 2735
6,17.24.56,30.58,2,sendRTS,6,8,1
6,17.24.57,30.884,2,sendRTS,6,8,1
6,17.24.57,31.287,2,sendRTS,6,8,1
6,17.24.57,31.622,6,False
6,17.24.57,31.626,3,1176, 249, 3362, 1275, 1419, 1084, 2735
6,17.24.57,31.637,3,1176, 249, 3362, 1275, 1419, 1084, 2735
6,17.24.58,32.253,3,1176, 249, 3362, 1275, 1419, 1084, 2735
6,17.24.59,32.823,3,1176, 249, 3362, 1275, 1419, 1084, 2735
6,17.24.59,33.351,3,1176, 249, 3362, 1275, 1419, 1084, 2735
6,17.24.59,33.362,2,sendHello,6,,0
6,17.24.59,33.483,3,1176, 249, 3362, 1275, 1419, 1084, 2735
6,17.25.0,33.792,3,1176, 249, 3362, 1275, 1419, 1084, 2735
6,17.25.1,35.022,6,True
6,17.25.1,35.027,3,1176, 249, 3362, 1275, 1419, 1084, 2735
6,17.25.1,35.037,3,1176, 249, 3362, 1275, 1419, 1084, 2735
6,17.25.1,35.654,3,1176, 249, 3362, 1275, 1419, 1084, 2735
6,17.25.2,35.88,3,1176, 249, 3362, 1275, 1419, 1084, 2735
6,17.25.2,35.893,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.2,36.606,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.3,37.225,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.4,37.842,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.4,38.459,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.5,39.077,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.6,39.694,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.6,40.227,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.6,40.24,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.7,40.957,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.7,41.576,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.8,42.193,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.9,42.81,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.9,43.426,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.10,44.042,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.10,44.659,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.11,45.374,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.11,45.385,2,sendHello,6,,0
6,17.25.11,45.506,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.12,46.125,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.12,46.56,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.12,46.573,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.13,46.996,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.13,47.206,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.13,47.547,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.14,47.961,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.14,48.58,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.15,49.199,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.16,49.816,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.16,50.432,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.17,51.049,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.17,51.401,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.18,52.118,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.19,52.737,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.19,53.354,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.20,53.971,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.20,54.587,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.21,55.204,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.21,55.416,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.21,55.677,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.22,55.907,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.22,56.331,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.22,56.541,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.23,56.811,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.23,57.077,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.24,57.694,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.24,57.954,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.24,58.162,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.25,58.88,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.25,59.499,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.26,60.118,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.27,60.734,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.27,61.351,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.27,61.676,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.28,61.883,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.28,62.089,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.29,62.795,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.29,63.414,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.30,64.032,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.30,64.649,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.31,65.266,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.31,65.399,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.31,65.606,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.32,65.814,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.32,66.434,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.33,67.052,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.33,67.669,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.34,68.286,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.35,68.903,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.35,69.121,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.35,69.328,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.35,69.536,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.36,70.154,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.36,70.637,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.37,70.844,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.37,71.05,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
6,17.25.37,71.258,3,1176, 249, 3362, 1275, 1419, 1084, 2396, 2735
